City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,zoucheng,35.4006,116.9656,62.76,25,0,4.21,CN,1715528213
1,moyamba,8.1667,-12.4333,90.05,61,99,4.85,SL,1715528213
2,fort bragg,35.139,-79.006,76.82,34,0,11.5,US,1715528165
3,crane,31.3974,-102.3501,73.83,65,100,6.49,US,1715528172
4,trinity beach,-16.7888,145.6968,70.02,93,10,10.36,AU,1715528213
5,warrnambool,-38.3833,142.4833,51.98,86,60,8.46,AU,1715528213
6,aasiaat,68.7098,-52.8699,35.83,80,100,13.56,GL,1715528144
7,kukshi,22.2,74.75,83.84,57,99,13.98,IN,1715528213
8,ribeira grande,38.5167,-28.7,69.78,83,40,17.0,PT,1715528143
9,bethel,41.3712,-73.414,52.52,77,100,6.91,US,1715528141
10,iqaluit,63.7506,-68.5145,19.13,62,75,17.27,CA,1715528151
11,colachel,8.1667,77.25,84.65,77,84,4.5,IN,1715528213
12,new norfolk,-42.7826,147.0587,53.1,98,92,2.59,AU,1715528157
13,mir bachah kot,34.75,69.119,64.33,37,0,3.36,AF,1715528214
14,port-aux-francais,-49.35,70.2167,39.4,96,94,26.57,TF,1715528141
15,jamestown,42.097,-79.2353,53.19,93,100,8.05,US,1715527951
16,nikolo-berezovka,56.1242,54.1557,45.75,47,48,7.09,RU,1715528214
17,qaqortoq,60.7167,-46.0333,35.96,80,8,5.93,GL,1715528141
18,tabas,33.5959,56.9244,93.42,11,4,3.15,IR,1715528162
19,landskrona,55.8708,12.8302,66.58,56,7,10.25,SE,1715528214
20,port alfred,-33.5906,26.891,61.18,86,23,5.68,ZA,1715528142
21,saint george's,12.0564,-61.7485,89.28,62,20,16.11,GD,1715528214
22,grytviken,-54.2811,-36.5092,35.31,92,87,10.6,GS,1715528143
23,rabigh,22.7986,39.0349,89.98,58,0,12.01,SA,1715528215
24,tazacorte,28.629,-17.9293,71.15,78,40,14.97,ES,1715528154
25,port mathurin,-19.6833,63.4167,78.04,73,89,21.65,MU,1715528141
26,jining,35.405,116.5814,61.05,24,0,4.52,CN,1715528215
27,puerto natales,-51.7236,-72.4875,37.85,70,20,0.0,CL,1715527944
28,urzhar,47.093,81.6294,59.7,49,99,9.71,KZ,1715528215
29,cidreira,-30.1811,-50.2056,69.57,99,100,6.53,BR,1715528216
30,nar'yan-mar,67.6713,53.087,25.11,94,100,11.99,RU,1715528156
31,georgetown,5.4112,100.3354,85.95,76,40,3.44,MY,1715527754
32,villa de arista,22.65,-100.8333,79.61,23,1,7.0,MX,1715528216
33,port lincoln,-34.7333,135.8667,55.99,70,41,5.23,AU,1715528146
34,olonkinbyen,70.9221,-8.7187,32.11,99,100,7.92,SJ,1715528146
35,kodiak,57.79,-152.4072,33.31,93,20,4.61,US,1715528001
36,yuzhno-kurilsk,44.0306,145.8556,48.38,97,100,16.91,RU,1715528217
37,kapuskasing,49.4169,-82.4331,60.89,44,100,24.16,CA,1715528154
38,margaret river,-33.95,115.0667,61.32,89,100,7.49,AU,1715528148
39,puerto ayora,-0.7393,-90.3518,82.36,75,76,9.75,EC,1715528152
